country_name,region,subregion,area
Afghanistan,Asia,Southern Asia,652230.0
Albania,Europe,Southern Europe,28748.0
Algeria,Africa,Northern Africa,2381741.0
Argentina,Americas,South America,2780400.0
Armenia,Asia,Western Asia,29743.0
Australia,Oceania,Australia and New Zealand,7692024.0
Austria,Europe,Western Europe,83871.0
Azerbaijan,Asia,Western Asia,86600.0
Bahrain,Asia,Western Asia,765.0
Bangladesh,Asia,Southern Asia,147570.0
Belarus,Europe,Eastern Europe,207600.0
Belgium,Europe,Western Europe,30528.0
Benin,Africa,Western Africa,112622.0
Bhutan,Asia,Southern Asia,38394.0
Bolivia,Americas,South America,1098581.0
Bosnia and Herzegovina,Europe,Southern Europe,51209.0
Botswana,Africa,Southern Africa,582000.0
Brazil,Americas,South America,8515767.0
Bulgaria,Europe,Eastern Europe,110879.0
Burkina Faso,Africa,Western Africa,272967.0
Burundi,Africa,Eastern Africa,27834.0
Cambodia,Asia,South-Eastern Asia,181035.0
Cameroon,Africa,Middle Africa,475442.0
Canada,Americas,Northern America,9984670.0
Central African Republic,Africa,Middle Africa,622984.0
Chad,Africa,Middle Africa,1284000.0
Chile,Americas,South America,756102.0
China,Asia,Eastern Asia,9640011.0
Colombia,Americas,South America,1141748.0
Comoros,Africa,Eastern Africa,1862.0
Costa Rica,Americas,Central America,51100.0
Croatia,Europe,Southern Europe,56594.0
Cyprus,Europe,Southern Europe,9251.0
Czech Republic,Europe,Eastern Europe,78865.0
Denmark,Europe,Northern Europe,43094.0
Dominican Republic,Americas,Caribbean,48671.0
Ecuador,Americas,South America,276841.0
Egypt,Africa,Northern Africa,1002450.0
El Salvador,Americas,Central America,21041.0
Estonia,Europe,Northern Europe,45227.0
Ethiopia,Africa,Eastern Africa,1104300.0
Finland,Europe,Northern Europe,338424.0
France,Europe,Western Europe,640679.0
Gabon,Africa,Middle Africa,267668.0
Georgia,Asia,Western Asia,69700.0
Germany,Europe,Western Europe,357114.0
Ghana,Africa,Western Africa,238533.0
Greece,Europe,Southern Europe,131990.0
Guatemala,Americas,Central America,108889.0
Guinea,Africa,Western Africa,245857.0
Haiti,Americas,Caribbean,27750.0
Honduras,Americas,Central America,112492.0
Hong Kong,Asia,Eastern Asia,1104.0
Hungary,Europe,Eastern Europe,93028.0
Iceland,Europe,Northern Europe,103000.0
India,Asia,Southern Asia,3287590.0
Indonesia,Asia,South-Eastern Asia,1904569.0
Iran,Asia,Southern Asia,1648195.0
Iraq,Asia,Western Asia,438317.0
Israel,Asia,Western Asia,20770.0
Italy,Europe,Southern Europe,301336.0
Jamaica,Americas,Caribbean,10991.0
Japan,Asia,Eastern Asia,377930.0
Jordan,Asia,Western Asia,89342.0
Kazakhstan,Asia,Central Asia,2724900.0
Kenya,Africa,Eastern Africa,580367.0
Kuwait,Asia,Western Asia,17818.0
Laos,Asia,South-Eastern Asia,236800.0
Latvia,Europe,Northern Europe,64559.0
Lebanon,Asia,Western Asia,10452.0
Lesotho,Africa,Southern Africa,30355.0
Liberia,Africa,Western Africa,111369.0
Libya,Africa,Northern Africa,1759540.0
Lithuania,Europe,Northern Europe,65300.0
Luxembourg,Europe,Western Europe,2586.0
Madagascar,Africa,Eastern Africa,587041.0
Malawi,Africa,Eastern Africa,118484.0
Malaysia,Asia,South-Eastern Asia,330803.0
Mali,Africa,Western Africa,1240192.0
Malta,Europe,Southern Europe,316.0
Mauritania,Africa,Western Africa,1030700.0
Mauritius,Africa,Eastern Africa,2040.0
Mexico,Americas,Central America,1964375.0
Moldova,Europe,Eastern Europe,33846.0
Mongolia,Asia,Eastern Asia,1564110.0
Montenegro,Europe,Southern Europe,13812.0
Morocco,Africa,Northern Africa,446550.0
Mozambique,Africa,Eastern Africa,801590.0
Namibia,Africa,Southern Africa,825615.0
Nepal,Asia,Southern Asia,147181.0
Netherlands,Europe,Western Europe,41850.0
New Zealand,Oceania,Australia and New Zealand,270467.0
Nicaragua,Americas,Central America,130373.0
Niger,Africa,Western Africa,1267000.0
Nigeria,Africa,Western Africa,923768.0
Norway,Europe,Northern Europe,323802.0
Pakistan,Asia,Southern Asia,881912.0
Panama,Americas,Central America,75417.0
Paraguay,Americas,South America,406752.0
Peru,Americas,South America,1285216.0
Philippines,Asia,South-Eastern Asia,342353.0
Poland,Europe,Eastern Europe,312679.0
Portugal,Europe,Southern Europe,92090.0
Qatar,Asia,Western Asia,11586.0
Romania,Europe,Eastern Europe,238391.0
Russia,Europe,Eastern Europe,17124442.0
Rwanda,Africa,Eastern Africa,26338.0
Saudi Arabia,Asia,Western Asia,2149690.0
Senegal,Africa,Western Africa,196722.0
Serbia,Europe,Southern Europe,88361.0
Sierra Leone,Africa,Western Africa,71740.0
Singapore,Asia,South-Eastern Asia,710.0
Slovakia,Europe,Eastern Europe,49037.0
Slovenia,Europe,Southern Europe,20273.0
Somalia,Africa,Eastern Africa,637657.0
South Africa,Africa,Southern Africa,1221037.0
Spain,Europe,Southern Europe,505992.0
Sri Lanka,Asia,Southern Asia,65610.0
Sweden,Europe,Northern Europe,450295.0
Switzerland,Europe,Western Europe,41284.0
Syria,Asia,Western Asia,185180.0
Tajikistan,Asia,Central Asia,143100.0
Tanzania,Africa,Eastern Africa,945087.0
Thailand,Asia,South-Eastern Asia,513120.0
Togo,Africa,Western Africa,56785.0
Tunisia,Africa,Northern Africa,163610.0
Turkey,Asia,Western Asia,783562.0
Turkmenistan,Asia,Central Asia,488100.0
Uganda,Africa,Eastern Africa,241550.0
Ukraine,Europe,Eastern Europe,603700.0
United Arab Emirates,Asia,Western Asia,83600.0
