country_name,world_rank,population,total_gdp,inflation,unemployment
Afghanistan,152.0,35.5,69.6,5.0,8.8
Albania,52.0,2.9,36.0,2.0,13.9
Algeria,171.0,41.5,632.9,5.6,10
Angola,156.0,28.2,190.3,31.7,8.2
Argentina,148.0,44.1,920.2,25.7,8.7
Armenia,47.0,3,28.3,0.9,18.2
Australia,5.0,24.8,1246.5,2.0,5.6
Austria,31.0,8.8,439.6,2.2,5.5
Azerbaijan,60.0,9.8,171.8,13.0,5
Bahamas,76.0,0.4,11.6,1.4,12.6
Bahrain,54.0,1.5,70.4,1.4,1.2
Bangladesh,121.0,163.2,687.1,5.7,4.4
Barbados,67.0,0.3,5.2,4.4,9.7
Belarus,104.0,9.5,178.9,6.0,0.5
Belgium,48.0,11.4,528.5,2.2,7.4
Belize,123.0,0.4,3.2,1.1,9.3
Benin,127.0,11.1,25.3,0.1,2.5
Bhutan,74.0,0.8,7.0,3.4,2.4
Bolivia,173.0,11.1,83.6,2.8,3.1
Bosnia and Herzegovina,83.0,3.5,44.6,1.3,25.6
Botswana,36.0,2.2,38.9,3.3,17.4
Brazil,150.0,207.7,3240.3,3.4,13.3
Brunei Darussalam,63.0,0.4,33.5,-0.1,7.1
Bulgaria,37.0,7.1,153.1,1.2,6.2
Burkina Faso,96.0,18.9,35.8,0.4,6.3
Burma,139.0,52.6,328.7,5.1,0.8
Burundi,162.0,10.9,8.0,16.6,1.6
Cambodia,105.0,16,64.3,2.9,0.2
Cameroon,145.0,24.3,88.9,0.6,4.2
Canada,8.0,36.7,1769.3,1.6,6.3
Cabo Verde,73.0,0.5,3.7,0.8,10.3
Central African Republic,161.0,5,3.4,3.8,6
Chad,159.0,12.2,28.6,-0.9,5.9
Chile,18.0,18.4,451.1,2.2,7
China,100.0,1390.1,23159.1,1.6,4.7
Colombia,49.0,49.3,714.0,4.3,8.9
Comoros,124.0,0.8,1.3,1.0,4.3
"Congo, Democratic Republic of the Congo",157.0,86.7,68.5,41.5,3.7
"Congo, Republic of",176.0,4.3,28.9,0.5,11
Costa Rica,61.0,5,83.9,1.6,8.1
C�te d'Ivoire,78.0,25,96.9,0.8,2.6
Croatia,86.0,4.1,101.3,1.1,11.2
Cuba,178.0,11.5,148.0,5.5,2.6
Cyprus,44.0,0.9,31.6,0.7,11
Czech Republic,23.0,10.6,375.7,2.4,2.9
Denmark,14.0,5.7,286.8,1.1,5.7
Djibouti,169.0,1,3.6,0.7,5.8
Dominica,72.0,0.1,0.8,0.6,
Dominican Republic,89.0,10.2,172.4,3.3,5.5
Ecuador,170.0,16.8,192.6,0.4,3.8
Egypt,144.0,94.8,1201.2,23.5,12.1
El Salvador,84.0,6.4,57.0,1.0,4.5
Equatorial Guinea,174.0,0.8,30.4,0.7,6.9
Eritrea,177.0,5.9,9.4,9.0,6.4
Estonia,15.0,1.3,41.6,3.7,5.8
Eswatini,132.0,1.1,11.3,6.3,26.4
Ethiopia,137.0,92.7,200.2,9.9,5.2
Fiji,81.0,0.9,8.7,3.4,6.3
Finland,20.0,5.5,244.0,0.8,8.6
France,71.0,64.8,2835.8,1.2,9.4
Gabon,118.0,1.9,36.7,3.0,19.7
Gambia,146.0,2.1,3.6,8.0,9.5
Georgia,16.0,3.7,39.7,6.0,11.6
Germany,24.0,82.7,4170.8,1.7,3.8
Ghana,109.0,28.3,133.7,12.4,2.4
Greece,106.0,10.8,298.7,1.1,21.5
Guatemala,77.0,16.9,137.8,4.4,2.7
Guinea,120.0,13,26.5,8.9,4.5
Guinea-Bissau,135.0,1.7,3.1,1.1,6.1
Guyana,113.0,0.8,6.3,2.1,12
Haiti,143.0,11,19.9,14.7,14
Honduras,93.0,8.3,46.2,3.9,4.5
Hong Kong,1.0,7.4,454.9,1.5,3.1
Hungary,64.0,9.8,289.0,2.4,4.2
Iceland,11.0,0.3,17.6,1.8,2.8
India,129.0,1316.9,9459.0,3.6,3.5
Indonesia,56.0,262,3242.8,3.8,4.2
Iran,155.0,81.4,1644.7,9.9,12.5
Iraq,,38.9,658.8,0.1,8.2
Ireland,6.0,4.7,357.2,0.3,6.4
Israel,27.0,8.7,316.5,0.2,4.3
Italy,80.0,60.6,2310.9,1.3,11.2
Jamaica,39.0,2.8,26.1,4.4,12.5
Japan,30.0,126.7,5428.8,0.5,2.8
Jordan,53.0,7.1,89.1,3.3,14.9
Kazakhstan,59.0,18.2,477.6,7.4,4.9
Kenya,130.0,46.7,163.1,8.0,11.5
Kiribati,168.0,0.1,0.2,2.2,
"Korea, North ",180.0,25.4,40.0,,4.8
"Korea, South",29.0,51.5,2029.0,1.9,3.7
Kosovo,51.0,1.9,19.6,1.5,
Kuwait,90.0,4.4,291.5,1.5,2.1
Kyrgyz Republic,79.0,6.3,23.0,3.2,7.3
Laos,110.0,6.7,49.2,0.8,0.7
Latvia,35.0,2,53.9,2.9,8.7
Lebanon,154.0,4.5,87.7,4.5,6.6
Lesotho,142.0,1.9,7.0,5.6,27.3
Liberia,160.0,4.5,6.1,12.4,2.4
Libya,,6.4,64.4,28.0,17.7
Liechtenstein,,"38,000 ppl.",6.1,,2.1 (2016)
Lithuania,21.0,2.8,91.2,3.7,7.1
Luxembourg,17.0,0.6,62.7,2.1,5.5
Macau,34.0,0.6,71.8,1.2,2
Macedonia,33.0,2.1,31.0,1.4,22.4
Madagascar,114.0,25.6,39.7,8.1,1.8
Malawi,153.0,19.2,22.4,11.5,5.9
Malaysia,22.0,32.1,930.8,3.8,3.4
Maldives,141.0,0.4,6.9,2.8,5
Mali,103.0,18.9,41.0,1.8,7.9
Malta,41.0,0.5,19.3,1.3,4
Mauritania,119.0,3.9,17.3,2.3,9.9
Mauritius,25.0,1.3,27.5,3.7,7.1
Mexico,66.0,123.5,2458.4,6.0,3.4
Micronesia,149.0,0.1,0.3,0.5,
Moldova,97.0,3.5,20.1,6.6,4.5
Mongolia,126.0,3.1,39.7,4.6,7
Montenegro,92.0,0.6,11.0,2.4,16.1
Morocco,75.0,34.9,298.6,0.8,9.3
Mozambique,163.0,29.5,36.7,15.3,25
Namibia,99.0,2.3,26.5,6.1,23.3
Nepal,136.0,29.3,78.6,4.5,2.7
Netherlands,13.0,17.1,916.1,1.3,4.8
New Zealand,3.0,4.8,188.6,1.9,4.9
Nicaragua,107.0,6.2,36.4,3.9,4.4
Niger,151.0,18.8,21.8,2.4,0.4
Nigeria,111.0,188.7,1118.8,16.5,7
Norway,26.0,5.3,380.0,1.9,4.2
Oman,88.0,4.1,186.6,1.6,3.3
Pakistan,131.0,197.3,1057.0,4.1,4
Panama,50.0,4.1,103.9,0.9,4.5
Papua New Guinea,101.0,8.3,30.3,5.2,2.7
Paraguay,85.0,7,68.3,3.6,4.6
Peru,45.0,31.8,424.4,2.8,3.6
Philippines,70.0,105.3,875.6,3.2,2.4
Poland,46.0,38,1121.0,2.0,4.9
Portugal,62.0,10.3,313.4,1.6,8.9
Qatar,28.0,2.7,340.6,0.4,0.1
Romania,42.0,19.6,481.5,1.3,4.9
Russia,98.0,144,4007.8,3.7,5.2
Rwanda,32.0,11.8,24.6,4.8,1.3
Saint Lucia,38.0,0.2,2.5,0.1,21
Saint Vincent and the Grenadines,55.0,0.1,1.3,2.0,18.3
Samoa,82.0,0.2,1.1,1.3,8.2
S�o Tom� and Pr�ncipe,134.0,0.2,0.7,5.5,13.5
Saudi Arabia,91.0,32.4,1773.6,-0.9,5.5
Senegal,117.0,15.9,43.2,1.4,4.9
Serbia,69.0,7,105.5,3.1,14.1
Seychelles,87.0,0.1,2.7,2.9,
Sierra Leone,167.0,7.4,11.5,18.0,4.5
Singapore,2.0,5.6,527.0,0.6,2
Slovakia,65.0,5.4,179.4,1.3,8.1
Slovenia,58.0,2.1,71.1,1.4,6.6
Solomon Islands,133.0,0.6,1.3,-0.4,2.1
Somalia,,14.3,18.7,,6
South Africa,102.0,56.5,765.6,5.3,27.3
Spain,57.0,46.3,1773.9,2.0,17.2
Sri Lanka,115.0,21.4,274.7,6.5,4.1
Sudan,166.0,40.8,187.0,32.4,12.7
Suriname,165.0,0.6,8.5,22.0,8.1
Sweden,19.0,10.1,520.9,1.9,6.7
Switzerland,4.0,8.4,517.2,0.5,4.8
Syria,,18.4,,,14.9
Taiwan ,10.0,23.6,1185.5,0.6,3.8
Tajikistan,122.0,8.8,28.4,7.3,10.3
Tanzania,94.0,50,162.2,5.3,2.2
Thailand,43.0,69.1,1233.7,0.7,1.1
Timor-Leste,172.0,1.2,6.8,0.6,3.4
Togo,158.0,7.8,12.9,-0.7,1.8
Tonga,108.0,0.1,0.6,8.0,1.1
Trinidad and Tobago,112.0,1.4,43.0,1.9,4.8
Tunisia,125.0,11.5,135.4,5.3,15.4
Turkey,68.0,80.8,2173.2,11.1,11.3
Turkmenistan,164.0,5.7,103.5,8.0,3.4
Uganda,95.0,37.7,88.7,5.6,2.1
Ukraine,147.0,42.3,368.8,14.4,9.5
United Arab Emirates,9.0,10.1,686.8,2.0,1.7
United Kingdom,7.0,66.1,2914.0,2.7,4.3
United States,12.0,325.9,19390.6,2.1,4.4
Uruguay,40.0,3.5,78.1,6.2,7.9
Uzbekistan,140.0,32.1,222.6,12.5,7.2
Vanuatu,116.0,0.3,0.8,3.1,5.2
Venezuela,179.0,31.4,380.7,1087.5,7.7
Vietnam,128.0,93.6,647.4,3.5,2.1
Yemen,,30,38.6,4.9,14
Zambia,138.0,17.2,68.9,6.6,7.8
Zimbabwe,175.0,14.9,34.0,1.3,5
